genes,state
AC004386.1,1.079646018
AC004448.1,2.477876106
AC004448.2,0.628318584
AC004448.4,0.0
AC004453.1,1.132743363
AC004461.1,0.0
AC004466.1,0.008849558
AC004466.2,0.008849558
AC004477.1,0.0
AC004490.1,0.0
AC004491.1,0.0
AC004494.1,0.008849558
AC004520.1,0.0
AC004528.1,0.0
AC004540.1,0.0
AC004540.2,0.0
AC004542.2,0.0
AC004543.1,0.0
AC004551.1,0.0
AC004552.1,0.530973451
AC004556.1,0.725663717
AC004584.1,0.0
AC004584.2,0.0
AC004585.1,0.0
AC004596.1,0.0
AC004656.1,0.03539823
AC004678.2,0.0
AC004686.1,0.03539823
AC004687.1,0.017699115
AC004690.2,0.0
AC004692.1,0.061946903
AC004704.1,0.0
AC004706.3,0.0
AC004754.1,0.0
AC004771.4,0.0
AC004801.2,0.03539823
AC004801.4,0.0
AC004803.1,0.0
AC004812.2,0.008849558
AC004815.1,0.0
AC004816.1,0.0
AC004816.2,0.0
AC004817.3,0.0
AC004824.1,0.0
AC004825.2,0.0
AC004834.1,0.0
AC004835.1,0.008849558
AC004836.1,0.0
AC004839.1,0.0
AC004846.1,0.008849558
AC004846.2,0.0
AC004847.1,0.0
AC004852.2,0.008849558
AC004862.1,0.0
AC004865.2,0.0
AC004870.2,0.0
AC004884.1,0.044247787999999996
AC004889.1,0.0
AC004890.1,0.46902654899999996
AC004893.2,0.0
AC004898.1,0.0
AC004908.1,0.0
AC004908.3,0.0
AC004910.1,0.230088496
AC004918.1,0.0
AC004923.1,0.0
AC004924.1,0.026548673
AC004938.1,0.168141593
AC004941.1,0.0
AC004941.2,0.0
AC004943.2,0.0
AC004947.2,0.0
AC004951.1,0.0
AC004967.1,0.0
AC004980.1,0.017699115
AC004980.2,0.0
AC004980.3,0.017699115
AC004982.1,0.0
AC004982.2,0.0
AC004987.2,0.0
AC005000.1,0.0
AC005002.1,0.0
AC005005.4,0.0
AC005011.1,0.026548673
AC005014.1,0.0
AC005017.1,0.0
AC005019.1,0.061946903
AC005034.3,0.008849558
AC005035.1,0.0
AC005041.1,0.008849558
AC005042.1,0.0
AC005062.1,0.0
AC005064.1,0.0
AC005070.1,0.008849558
AC005072.1,0.0
AC005076.1,0.0
AC005082.1,0.0
AC005083.1,0.008849558
AC005086.1,0.008849558
AC005089.1,0.0
AC005094.1,0.0
AC005099.1,0.061946903
AC005154.1,0.03539823
AC005154.3,0.0
AC005156.1,0.0
AC005162.3,0.0
AC005165.2,0.132743363
AC005176.1,0.0
AC005224.3,0.0
AC005224.4,0.0
AC005225.4,0.0
AC005225.5,0.0
AC005229.1,0.008849558
AC005229.2,0.0
AC005229.4,0.008849558
AC005244.1,0.0
AC005253.1,0.088495575
AC005253.2,0.017699115
AC005255.1,0.0
AC005261.2,0.053097345
AC005261.4,0.03539823
AC005261.6,0.0
AC005262.1,0.008849558
AC005280.1,0.008849558
AC005300.1,0.0
AC005306.1,0.09734513300000001
AC005329.1,0.008849558
AC005329.2,0.0
AC005332.1,0.0
AC005332.6,0.008849558
AC005332.7,0.0
AC005332.8,0.008849558
AC005332.9,0.0
AC005336.2,0.044247787999999996
AC005358.2,0.0
AC005363.2,0.0
AC005383.1,0.0
AC005410.1,0.0
AC005412.1,0.008849558
AC005412.2,0.008849558
AC005476.1,0.0
AC005480.1,0.0
AC005480.2,0.008849558
AC005498.2,0.0
AC005517.2,0.0
AC005519.1,0.044247787999999996
AC005520.2,0.0
AC005521.1,0.09734513300000001
AC005522.1,0.0
AC005523.2,0.008849558
AC005531.1,0.0
AC005532.2,0.0
AC005534.2,0.026548673
AC005537.1,0.008849558
AC005540.1,0.0
AC005546.1,0.0
AC005550.2,0.008849558
AC005550.3,0.008849558
AC005578.1,0.008849558
AC005586.2,0.0
AC005587.1,0.0
AC005614.1,0.0
AC005616.1,0.0
AC005632.3,0.008849558
AC005668.1,0.0
AC005696.2,0.0
AC005696.3,0.0
AC005699.1,0.008849558
AC005702.1,0.0
AC005725.1,0.008849558
AC005726.1,0.0
AC005726.2,0.008849558
AC005726.4,0.0
AC005726.5,0.0
AC005726.6,0.0
AC005730.3,0.026548673
AC005736.1,0.0
AC005740.1,0.0
AC005740.4,0.0
AC005785.1,0.0
AC005786.1,0.026548673
AC005786.2,0.0
AC005786.3,0.008849558
AC005786.4,0.0
AC005790.1,0.0
AC005822.1,0.0
AC005837.1,0.0
AC005837.3,0.0
AC005838.2,0.017699115
AC005839.1,0.0
AC005840.1,0.398230088
AC005840.3,0.0
AC005840.5,0.0
AC005841.1,0.0
AC005856.1,0.0
AC005863.1,0.0
AC005884.1,0.0
AC005884.2,0.026548673
AC005885.1,0.0
AC005899.1,0.0
AC005899.6,0.008849558
AC005899.8,0.0
AC005906.1,0.017699115
AC005906.2,0.0
AC005908.1,0.008849558
AC005911.1,0.0
AC005912.1,0.955752212
AC005943.2,0.0
AC005944.1,0.061946903
AC005996.1,0.0
AC006001.3,0.061946903
AC006004.1,0.0
AC006011.2,0.0
AC006027.1,0.0
AC006028.1,0.0
AC006033.1,0.03539823
AC006064.1,0.008849558
AC006064.2,0.0
AC006064.4,0.044247787999999996
AC006077.1,0.0
AC006077.2,0.0
AC006111.2,0.0
AC006115.1,0.0
AC006116.2,0.008849558
AC006116.6,0.0
AC006122.1,1.575221239
AC006130.1,0.0
AC006144.1,0.0
AC006148.1,0.0
AC006210.2,0.0
AC006213.1,0.0
AC006238.1,0.0
AC006254.1,0.0
AC006262.1,0.017699115
AC006262.2,0.0
AC006305.1,0.008849558
AC006328.2,0.0
AC006330.1,0.0
AC006333.2,0.0
AC006386.2,0.017699115
AC006387.1,0.0
AC006435.2,0.0
AC006435.3,0.0
AC006435.4,0.0
AC006441.3,0.008849558
AC006445.1,0.0
AC006445.2,0.0
AC006449.6,0.0
AC006453.2,0.03539823
AC006460.2,0.0
AC006461.1,0.0
AC006463.2,0.45132743399999997
AC006480.2,0.008849558
AC006483.1,0.274336283
AC006483.2,0.0
AC006486.2,0.0
AC006504.1,0.0
AC006504.5,0.017699115
AC006504.8,0.0
AC006509.1,0.0
AC006511.2,0.0
AC006511.3,1.424778761
AC006512.1,0.0
AC006529.1,0.0
AC006530.1,0.0
AC006534.1,0.548672566
AC006539.1,0.0
AC006547.1,0.0
AC006547.3,0.0
AC006548.3,0.017699115
AC006557.5,0.0
AC006600.1,0.0
AC006600.2,0.0
AC006927.1,0.008849558
AC006946.2,0.0
AC006960.1,0.0
AC006965.1,0.0
AC006970.1,0.123893805
AC006970.2,0.0
AC006978.1,0.0
AC007000.1,0.044247787999999996
AC007014.2,0.008849558
AC007016.1,0.132743363
AC007032.1,0.008849558
AC007036.2,0.0
AC007038.1,0.0
