ABI1,0.105898725,1
ABI2,0.207824891,1
ABL1,0.079997578,1
ABL2,0.461240021,1
ABLIM1,0.179630407,1
ABO,0.604474945,1
ABR,0.507371511,1
ABTB1,0.681539842,1
ABTB2,0.375983132,1
AC004556.1,0.570303187,1
AC126755.2,0.275326344,1
AC136616.1,0.018319631,1
AC138969.1,0.154339391,1
AC240274.1,0.17326246,1
ACAA1,0.038379579,1
ACAA2,0.622220062,1
ACADVL,0.009410224,1
ACAP3,0.690939883,1
ACHE,0.245567835,1
ACIN1,0.180658234,1
ACLY,0.322686635,1
ACO2,0.674426765,1
ACOT1,0.662942866,1
ACOT13,0.677797181,1
ACOT2,0.680646285,1
ACOT9,0.52552675,1
ACOX1,0.651710206,1
ACP1,0.790167636,1
ACP2,0.585805329,1
ACP5,0.047365318,1
ACSL1,0.328208404,1
ACSL3,0.319342937,1
ACSL4,0.606494141,1
ACSL5,0.797104145,1
ACSS2,0.797818145,1
ACTG1,0.090893117,1
ACTN1,0.047049303,1
ACTN4,0.185745526,1
ACTR10,0.483429756,1
ACTR1A,0.646788064,1
ACTR1B,0.819923983,1
ACTR2,0.051405019,1
ACTR3,0.514645275,1
ACVRL1,0.847028556,1
ADA2,0.589565185,1
ADAM10,0.597134083,1
ADAM15,0.073430755,1
ADAM28,0.028412805,1
ADAM9,0.833159151,1
ADAMTS12,0.156201544,1
ADAMTS2,0.19446099,1
ADAMTSL4,0.430392226,1
ADAP1,0.414502409,1
ADAR,0.085072763,1
ADD1,0.463995896,1
ADD3,0.250257368,1
ADGRA2,0.267213986,1
ADGRE5,0.132059363,1
ADGRG1,0.597911422,1
ADH5,0.672306342,1
ADI1,0.35672202,1
ADIPOR1,0.459806205,1
ADIPOR2,0.938542967,1
ADNP,0.604304442,1
ADO,0.607520219,1
ADPRHL2,0.079253941,1
ADRM1,0.328191547,1
AEN,0.690054499,1
AES,0.767017787,1
AFAP1,0.168315016,1
AFDN,0.133147352,1
AFF1,0.727594965,1
AFF4,0.409855749,1
AFMID,0.365145967,1
AFTPH,0.05431741,1
AGAP1,0.774263683,1
AGAP3,0.918833794,1
AGBL5,0.476058199,1
AGFG1,0.312812336,1
AGO4,0.273353834,1
AGPAT1,0.659834462,1
AGPAT2,0.438183386,1
AGPAT3,0.314428003,1
AGR2,0.019040325,1
AGRN,0.423598729,1
AGTRAP,0.378130373,1
AHCY,0.668591257,1
AHCYL1,0.329841055,1
AHDC1,0.890860338,1
AHR,0.075798218,1
AHSA1,0.090918366,1
AHSA2,0.223323881,1
AIDA,0.482813075,1
AIP,0.733055551,1
AK2,0.276547593,1
