"584.6, 490.8","21, 16",green
"584.6, 520.8","21, 17",green
"584.6, 550.8","21, 18",blue
"584.6, 580.8","21, 19",blue
"584.6, 610.8","21, 20",blue
"584.6, 640.8","21, 21",blue
"584.6, 670.8","21, 22",blue
"584.6, 700.8","21, 23",blue
"613.6, 70.8","22, 2",grey
"613.6, 100.8","22, 3",grey
"613.6, 130.8","22, 4",grey
"613.6, 160.8","22, 5",grey
"613.6, 190.8","22, 6",grey
"613.6, 220.8","22, 7",grey
"613.6, 250.8","22, 8",pink
"613.6, 280.8","22, 9",green
"613.6, 310.8","22, 10",green
"613.6, 340.8","22, 11",green
"613.6, 370.8","22, 12",green
"613.6, 400.8","22, 13",green
"613.6, 460.8","22, 15",green
"613.6, 490.8","22, 16",green
"613.6, 520.8","22, 17",pink
"613.6, 550.8","22, 18",blue
"613.6, 580.8","22, 19",blue
"613.6, 610.8","22, 20",blue
"613.6, 640.8","22, 21",blue
"613.6, 670.8","22, 22",blue
"642.6, 70.8","23, 2",grey
"642.6, 100.8","23, 3",grey
"642.6, 130.8","23, 4",grey
"642.6, 160.8","23, 5",grey
"642.6, 190.8","23, 6",grey
"642.6, 220.8","23, 7",grey
"642.6, 250.8","23, 8",green
"642.6, 280.8","23, 9",green
"642.6, 310.8","23, 10",green
"642.6, 340.8","23, 11",green
"642.6, 370.8","23, 12",green
"642.6, 460.8","23, 15",green
"642.6, 490.8","23, 16",green
"642.6, 520.8","23, 17",pink
"642.6, 550.8","23, 18",green
"642.6, 580.8","23, 19",blue
"642.6, 610.8","23, 20",blue
"642.6, 640.8","23, 21",blue
"642.6, 670.8","23, 22",blue
"671.6, 100.8","24, 3",grey
"671.6, 130.8","24, 4",grey
"671.6, 160.8","24, 5",grey
"671.6, 190.8","24, 6",grey
"671.6, 220.8","24, 7",grey
"671.6, 250.8","24, 8",grey
"671.6, 280.8","24, 9",pink
"671.6, 310.8","24, 10",green
"671.6, 340.8","24, 11",green
"671.6, 370.8","24, 12",green
"671.6, 400.8","24, 13",green
"671.6, 460.8","24, 15",green
"671.6, 490.8","24, 16",green
"671.6, 520.8","24, 17",green
"671.6, 550.8","24, 18",green
"671.6, 580.8","24, 19",green
"671.6, 610.8","24, 20",blue
"671.6, 640.8","24, 21",blue
"700.6, 100.8","25, 3",grey
"700.6, 130.8","25, 4",grey
"700.6, 160.8","25, 5",grey
"700.6, 190.8","25, 6",grey
"700.6, 220.8","25, 7",grey
"700.6, 250.8","25, 8",grey
"700.6, 280.8","25, 9",green
"700.6, 310.8","25, 10",green
"700.6, 340.8","25, 11",green
"700.6, 370.8","25, 12",green
"700.6, 400.8","25, 13",green
"700.6, 460.8","25, 15",green
"700.6, 490.8","25, 16",green
"700.6, 520.8","25, 17",green
"700.6, 550.8","25, 18",green
"700.6, 580.8","25, 19",blue
"700.6, 610.8","25, 20",blue
"729.6, 100.8","26, 3",grey
"729.6, 130.8","26, 4",grey
"729.6, 160.8","26, 5",grey
"729.6, 190.8","26, 6",grey
"729.6, 220.8","26, 7",grey
"729.6, 250.8","26, 8",grey
"729.6, 280.8","26, 9",green
"729.6, 310.8","26, 10",green
"729.6, 340.8","26, 11",green
"729.6, 370.8","26, 12",green
"729.6, 400.8","26, 13",green
"729.6, 460.8","26, 15",green
"729.6, 490.8","26, 16",green
"729.6, 520.8","26, 17",green
"729.6, 550.8","26, 18",green
"729.6, 580.8","26, 19",blue
"729.6, 610.8","26, 20",blue
"758.6, 100.8","27, 3",grey
"758.6, 130.8","27, 4",grey
"758.6, 160.8","27, 5",grey
"758.6, 190.8","27, 6",grey
"758.6, 220.8","27, 7",grey
"758.6, 250.8","27, 8",grey
"758.6, 280.8","27, 9",grey
"758.6, 310.8","27, 10",green
"758.6, 340.8","27, 11",green
"758.6, 370.8","27, 12",grey
"758.6, 400.8","27, 13",grey
"758.6, 460.8","27, 15",green
"758.6, 490.8","27, 16",green
"758.6, 520.8","27, 17",green
"758.6, 550.8","27, 18",green
"758.6, 580.8","27, 19",green
"787.6, 130.8","28, 4",grey
"787.6, 160.8","28, 5",grey
"787.6, 190.8","28, 6",grey
"787.6, 220.8","28, 7",grey
"787.6, 250.8","28, 8",grey
"787.6, 280.8","28, 9",grey
"787.6, 310.8","28, 10",grey
"787.6, 340.8","28, 11",grey
"787.6, 370.8","28, 12",grey
"787.6, 400.8","28, 13",grey
"787.6, 460.8","28, 15",green
"787.6, 490.8","28, 16",green
"787.6, 520.8","28, 17",green
"787.6, 550.8","28, 18",blue
"787.6, 580.8","28, 19",blue
"816.6, 220.8","29, 7",grey
"816.6, 250.8","29, 8",grey
"816.6, 280.8","29, 9",grey
"816.6, 310.8","29, 10",grey
"816.6, 370.8","29, 12",grey
"816.6, 400.8","29, 13",grey
"816.6, 460.8","29, 15",grey
"816.6, 490.8","29, 16",pink
"816.6, 520.8","29, 17",green
"816.6, 550.8","29, 18",green
